condition_id,P,T_ms,W_ms,label,v_real,a_real,t_real,z_real,valid_ez
C1,0.0,30.0,300.0,self,,,,,0.0
C1,0.0,30.0,300.0,stranger,,,,,0.0
C2,0.0,30.0,600.0,self,,,,,0.0
C2,0.0,30.0,600.0,stranger,,,,,0.0
C3,8.0,100.0,1100.0,self,0.18411915445744986,0.10534766532419985,0.4409963114298531,0.05267383266209993,1.0
C3,8.0,100.0,1100.0,stranger,0.0886996661425617,0.09896344584761804,0.5103465404478083,0.04948172292380902,1.0
C4,120.0,30.0,600.0,self,,,,,0.0
C4,120.0,30.0,600.0,stranger,,,,,0.0
C5,120.0,80.0,600.0,self,0.057468659517930926,0.07286523398274192,0.3731055962008543,0.03643261699137096,1.0
C5,120.0,80.0,600.0,stranger,,,,,0.0
C6,120.0,500.0,1500.0,self,0.1736592975812376,0.125162019167648,0.5832197787233144,0.062581009583824,1.0
C6,120.0,500.0,1500.0,stranger,0.1328796524626284,0.1262288431713471,0.6432839504202639,0.06311442158567356,1.0
