condition,bin,n,rt_mean_ms,p_matching,se,ci_lo,ci_hi
neutral,1,900,363.23687646411287,0.4855555555555556,0.016659710482501436,0.4529025230098528,0.5182085881012584
neutral,2,900,456.8135465360244,0.4955555555555556,0.016666008217446016,0.4628901794493614,0.5282209316617498
neutral,3,900,554.4382985870623,0.48777777777777775,0.016661686498736176,0.4551208722402549,0.5204346833153006
neutral,4,900,705.7353125266332,0.5011111111111111,0.01666662551435249,0.4684445251029802,0.533777697119242
neutral,5,900,1117.460715816757,0.5233333333333333,0.016648508627086476,0.4907022564242438,0.5559644102424228
z_bias_large,1,900,341.4451218734329,0.8666666666666667,0.011331154474650633,0.8444576038963515,0.8888757294369819
z_bias_large,2,900,432.5224445236176,0.72,0.014966629547095765,0.6906654060876922,0.7493345939123077
z_bias_large,3,900,529.7094448239557,0.5133333333333333,0.016660739686868053,0.4806782835470719,0.5459883831195946
z_bias_large,4,900,678.4702360078879,0.4677777777777778,0.016632021604759288,0.4351790154324496,0.500376540123106
z_bias_large,5,900,1087.3241693683622,0.45444444444444443,0.016597345549415245,0.42191364716759056,0.4869752417212983
z_bias_medium,1,900,348.74919670206583,0.7655555555555555,0.014121703033651596,0.7378770176095985,0.7932340935015126
z_bias_medium,2,900,443.5045984545846,0.6255555555555555,0.016132637811079882,0.593935585445839,0.657175525665272
z_bias_medium,3,900,541.9241244712483,0.49444444444444446,0.016665637828327053,0.4617797943009234,0.5271090945879655
z_bias_medium,4,900,692.1921113550719,0.5122222222222222,0.016661686498736176,0.47956531668469937,0.5448791277597451
z_bias_medium,5,900,1100.903607836508,0.4855555555555556,0.016659710482501436,0.4529025230098528,0.5182085881012584
z_bias_small,1,900,357.84182940898876,0.6533333333333333,0.015863616264510886,0.622240645454892,0.6844260212117746
z_bias_small,2,900,450.86065478675835,0.5766666666666667,0.01646957539161975,0.544386298899092,0.6089470344342414
z_bias_small,3,900,545.0621099419416,0.5066666666666667,0.01666518511933571,0.4740029038327687,0.5393304295005648
z_bias_small,4,900,698.5721377074568,0.47444444444444445,0.01664488288334509,0.44182047399308805,0.5070684148958008
z_bias_small,5,900,1101.5324625298886,0.5011111111111111,0.01666662551435249,0.4684445251029802,0.533777697119242
