SubjectUID,DesignCell,P,T_ms,W_ms,Stranger,Self,SPE_RT_ms
group1_1,P0_T30_W300,0,30.0,300.0,252.24295454509874,263.86808421069105,11.625129665592311
group1_10,P0_T30_W300,0,30.0,300.0,259.85313809776153,266.30811600945884,6.454977911697313
group1_11,P0_T30_W300,0,30.0,300.0,267.43995416230365,261.3753906152853,-6.064563547018338
group1_2,P0_T30_W300,0,30.0,300.0,255.67723529478403,265.5414416673617,9.864206372577684
group1_3,P0_T30_W300,0,30.0,300.0,282.9697235292236,266.591976471211,-16.377747058012574
group1_4,P0_T30_W300,0,30.0,300.0,239.4508714267951,242.99586922727315,3.5449978004780576
group1_5,P0_T30_W300,0,30.0,300.0,258.4196516132403,265.0744393891231,6.654787775882767
group1_6,P0_T30_W300,0,30.0,300.0,235.4139199946074,262.94135000352964,27.527430008922238
group1_7,P0_T30_W300,0,30.0,300.0,241.74383889314615,239.3199181745082,-2.4239207186379588
group1_8,P0_T30_W300,0,30.0,300.0,258.680785715114,272.952739999164,14.271954284050025
group1_9,P0_T30_W300,0,30.0,300.0,262.8180599975168,255.44395152246574,-7.3741084750510595
group2_1,P0_T30_W600,0,30.0,600.0,402.6528638890643,352.3919055555274,-50.260958333536905
group2_10,P0_T30_W600,0,30.0,600.0,377.91344782580506,364.82215000069124,-13.091297825113827
group2_11,P0_T30_W600,0,30.0,600.0,499.6245125,521.18435375,21.559841250000034
group2_12,P0_T30_W600,0,30.0,600.0,371.3865400097954,360.7118533303341,-10.674686679461274
group2_2,P0_T30_W600,0,30.0,600.0,463.3598500040535,285.96532500523597,-177.39452499881753
group2_3,P0_T30_W600,0,30.0,600.0,557.5812363650501,526.111640506925,-31.469595858125103
group2_4,P0_T30_W600,0,30.0,600.0,431.37386363973326,436.92417499551084,5.5503113557775805
group2_5,P0_T30_W600,0,30.0,600.0,368.2819557669482,394.99125555425593,26.709299787307714
group2_6,P0_T30_W600,0,30.0,600.0,562.2214099984072,556.3824000003349,-5.839009998072356
group2_7,P0_T30_W600,0,30.0,600.0,255.76798039244255,271.5436253961848,15.775645003742227
group2_8,P0_T30_W600,0,30.0,600.0,538.8885249994928,573.6244624995724,34.73593750007956
group2_9,P0_T30_W600,0,30.0,600.0,515.4871623229195,495.2762241796386,-20.21093814328094
group3_1,P120_T30_W600,120,30.0,600.0,444.61062857263477,437.37684721903247,-7.233781353602296
group3_10,P120_T30_W600,120,30.0,600.0,358.4951788518363,400.5450560944154,42.0498772425791
group3_12,P120_T30_W600,120,30.0,600.0,377.6446408189703,348.66290952500316,-28.98173129396713
group3_2,P120_T30_W600,120,30.0,600.0,507.2778446813166,518.6952179481009,11.417373266784296
group3_3,P120_T30_W600,120,30.0,600.0,274.25057611928366,281.1738153847657,6.923239265482039
group3_4,P120_T30_W600,120,30.0,600.0,550.852320001577,580.6439789486926,29.791658947115593
group3_5,P120_T30_W600,120,30.0,600.0,292.3196196976333,295.8121926475381,3.4925729499047975
group3_6,P120_T30_W600,120,30.0,600.0,480.11891666707635,465.9863625010985,-14.132554165977865
group3_7,P120_T30_W600,120,30.0,600.0,431.0325799965841,515.1694755551741,84.13689555859003
group3_8,P120_T30_W600,120,30.0,600.0,349.8583119016119,359.93006122531295,10.071749323701056
group4_1,P120_T80_W600,120,80.0,600.0,512.28506849263,495.7744527776715,-16.510615714958476
group4_10,P120_T80_W600,120,80.0,600.0,609.3478447337953,604.1546270801822,-5.1932176536131465
group4_12,P120_T80_W600,120,80.0,600.0,601.4896785657454,619.3723151527317,17.882636586986337
group4_14,P120_T80_W600,120,80.0,600.0,454.6442948275862,498.9097242424242,44.265429414838025
group4_2,P120_T80_W600,120,80.0,600.0,520.7039907691069,509.3539644070207,-11.350026362086169
group4_3,P120_T80_W600,120,80.0,600.0,498.6675730777698,528.2165178224286,29.548944744658797
group4_5,P120_T80_W600,120,80.0,600.0,508.39927247733436,465.1399887094862,-43.25928376784816
group4_6,P120_T80_W600,120,80.0,600.0,599.1174444465692,597.8453260854027,-1.2721183611664628
group4_7,P120_T80_W600,120,80.0,600.0,562.2411530612783,510.29713551468154,-51.94401754659674
group4_8,P120_T80_W600,120,80.0,600.0,602.9831310357811,596.2828899995657,-6.700241036215402
group4_9,P120_T80_W600,120,80.0,600.0,430.38818305082043,464.1199318196441,33.73174876882365
group5_1,P8_T100_W1100,8,100.0,1100.0,715.1160265873127,586.8747981650746,-128.24122842223812
group5_10,P8_T100_W1100,8,100.0,1100.0,661.1536680460114,636.3267392468439,-24.82692879916749
group5_11,P8_T100_W1100,8,100.0,1100.0,596.7935931720687,574.619574996177,-22.17401817589166
group5_12,P8_T100_W1100,8,100.0,1100.0,769.2848169015275,805.7630377972897,36.478220895762206
group5_2,P8_T100_W1100,8,100.0,1100.0,907.9965403519996,872.5973196741817,-35.39922067781788
group5_3,P8_T100_W1100,8,100.0,1100.0,762.6159010249785,635.52115807045,-127.09474295452844
group5_4,P8_T100_W1100,8,100.0,1100.0,784.6727740784166,801.3568602394346,16.684086161017945
group5_5,P8_T100_W1100,8,100.0,1100.0,819.2567095713719,747.9398991095617,-71.31681046181018
group5_6,P8_T100_W1100,8,100.0,1100.0,820.919194314973,789.4814096770491,-31.43778463792387
group5_7,P8_T100_W1100,8,100.0,1100.0,712.9513915866465,579.6844828117727,-133.26690877487385
group5_8,P8_T100_W1100,8,100.0,1100.0,657.3186878380806,651.4791337208725,-5.839554117208081
group6_1,P120_T500_W1500,120,500.0,1500.0,886.5919950822287,856.6620715448825,-29.929923537346212
group6_10,P120_T500_W1500,120,500.0,1500.0,958.5005017239713,871.9077793114674,-86.59272241250392
group6_12,P120_T500_W1500,120,500.0,1500.0,1063.3847065556415,920.6500023999253,-142.73470415571626
group6_13,P120_T500_W1500,120,500.0,1500.0,886.2983333371905,933.699433855881,47.401100518690555
group6_15,P120_T500_W1500,120,500.0,1500.0,830.5592465255926,780.4872138874124,-50.07203263818019
group6_16,P120_T500_W1500,120,500.0,1500.0,817.7001607859982,836.997022932337,19.296862146338867
group6_3,P120_T500_W1500,120,500.0,1500.0,1058.2504297538335,943.7880737701773,-114.46235598365615
group6_4,P120_T500_W1500,120,500.0,1500.0,1190.9509393437593,901.3690370986529,-289.58190224510633
group6_5,P120_T500_W1500,120,500.0,1500.0,905.5594831458435,846.6557660205086,-58.90371712533488
group6_9,P120_T500_W1500,120,500.0,1500.0,803.0710631015818,849.2780025016087,46.206939400026954
group7_1,P120_T30_W800,120,30.0,800.0,619.1976711089309,580.6063981608195,-38.591272948111396
group7_10,P120_T30_W800,120,30.0,800.0,653.7090358681482,664.2673506277697,10.558314759621453
group7_11,P120_T30_W800,120,30.0,800.0,691.9393297284842,676.548552501481,-15.390777227003127
group7_12,P120_T30_W800,120,30.0,800.0,615.8267111197641,614.3436042512669,-1.4831068684972024
group7_2,P120_T30_W800,120,30.0,800.0,652.9367382343694,657.2392990187212,4.30256078435184
group7_3,P120_T30_W800,120,30.0,800.0,686.8338943606662,596.0409367006323,-90.79295766003395
group7_4,P120_T30_W800,120,30.0,800.0,656.5921530507657,698.5571433311432,41.96499028037749
group7_5,P120_T30_W800,120,30.0,800.0,602.8383991079036,587.9712581976133,-14.867140910290232
group7_6,P120_T30_W800,120,30.0,800.0,680.8117789547205,682.5519746811943,1.7401957264738712
group7_7,P120_T30_W800,120,30.0,800.0,637.6610160618189,574.9498766788747,-62.711139382944225
group7_8,P120_T30_W800,120,30.0,800.0,375.3895233501679,412.79803962833336,37.40851627816545
group7_9,P120_T30_W800,120,30.0,800.0,431.7234719556087,437.6616098861732,5.938137930564494
group8_1,P120_T80_W800,120,80.0,800.0,619.1976711089309,580.6063981608195,-38.591272948111396
group8_10,P120_T80_W800,120,80.0,800.0,653.7090358681482,664.2673506277697,10.558314759621453
group8_11,P120_T80_W800,120,80.0,800.0,691.9393297284842,676.548552501481,-15.390777227003127
group8_12,P120_T80_W800,120,80.0,800.0,615.8267111197641,614.3436042512669,-1.4831068684972024
group8_2,P120_T80_W800,120,80.0,800.0,652.9367382343694,657.2392990187212,4.30256078435184
group8_3,P120_T80_W800,120,80.0,800.0,686.8338943606662,596.0409367006323,-90.79295766003395
group8_4,P120_T80_W800,120,80.0,800.0,656.5921530507657,698.5571433311432,41.96499028037749
group8_5,P120_T80_W800,120,80.0,800.0,602.8383991079036,587.9712581976133,-14.867140910290232
group8_6,P120_T80_W800,120,80.0,800.0,680.8117789547205,682.5519746811943,1.7401957264738712
group8_7,P120_T80_W800,120,80.0,800.0,637.6610160618189,574.9498766788747,-62.711139382944225
group8_8,P120_T80_W800,120,80.0,800.0,375.3895233501679,412.79803962833336,37.40851627816545
