condition_id,label,P,T_ms,W_ms,v_real,a_real,t_real,z_real,pc_real,n_real,v_gen_est,a_gen_est,t_gen_est,z_gen_est,pc_gen_est,n_gen,v_gen_latent,a_gen_latent,t_gen_latent,z_gen_latent,condition_text
C1,self,0.0,30.0,300.0,,,,,,,0.17395406046416365,0.1368451500012068,0.17365327634190342,0.0684225750006034,0.8872901678657074,139,2.489209274445206,1.4936568687681826,0.2,0.7468284343840913,"C1 | P=0, T=30, W=300"
C1,stranger,0.0,30.0,300.0,,,,,,,0.05418485726600024,0.1351880527339747,0.21462206252755814,0.06759402636698734,0.6766937669376694,123,0.6931146816800807,1.4909833468640143,0.2,0.7454916734320071,"C1 | P=0, T=30, W=300"
C2,self,0.0,30.0,600.0,0.09240511101853344,0.055945023671885544,0.4358812774353929,0.027972511835942772,0.6269230769230769,1.0,0.1276508557416838,0.15503102307224623,0.21261248514909567,0.07751551153612311,0.8597826086956522,92,1.8960586943789224,1.9263299968812113,0.2,0.9631649984406057,"C2 | P=0, T=30, W=600"
C2,stranger,0.0,30.0,600.0,0.030723271158055065,0.055001742764433065,0.4437209497303985,0.027500871382216532,0.5423076923076923,1.0,0.04082638692338531,0.1463594993863517,0.27153623129693905,0.07317974969317585,0.6457777777777778,75,0.5498604714507374,1.9003263964188897,0.2,0.9501631982094448,"C2 | P=0, T=30, W=600"
C3,self,8.0,100.0,1100.0,0.15204502889554486,0.0990032867188202,0.49992882881536677,0.0495016433594101,0.8032967032967032,7.0,0.15553520303066995,0.16687457983976445,0.25459201809669063,0.08343728991988222,0.9128666666666667,500,2.3070861789134063,2.3543631634908544,0.2,1.1771815817454272,"C3 | P=8, T=100, W=1100"
C3,stranger,8.0,100.0,1100.0,0.0971293292615837,0.09479681689610224,0.5389017992897513,0.04739840844805112,0.7054945054945055,7.0,0.03891914580861465,0.15215448856141148,0.3727102175340916,0.07607724428070574,0.6450236966824644,422,0.6436672056160648,2.348519450240735,0.2,1.1742597251203675,"C3 | P=8, T=100, W=1100"
C4,self,120.0,30.0,600.0,,,,,,,0.08906662185465543,0.14399083242651084,0.2558297140279652,0.07199541621325542,0.7777777777777778,87,1.345621730107759,1.900950961371744,0.2,0.950475480685872,"C4 | P=120, T=30, W=600"
C4,stranger,120.0,30.0,600.0,,,,,,,0.03328511484406569,0.13594907304905715,0.315121164020508,0.06797453652452858,0.610909090909091,55,0.42342525993567426,1.897555578855114,0.2,0.948777789427557,"C4 | P=120, T=30, W=600"
C5,self,120.0,80.0,600.0,0.08586404791949981,0.06937612073207033,0.40549744360924683,0.03468806036603517,0.6221153846153846,4.0,0.19637861209343913,0.1576729572910506,0.20515078490872132,0.0788364786455253,0.9478981645944345,563,2.856818870017771,2.0215109851826094,0.2,1.0107554925913047,"C5 | P=120, T=80, W=600"
C5,stranger,120.0,80.0,600.0,0.12577930912380794,0.06777883967258438,0.40630252770658026,0.03388941983629219,0.6692307692307693,2.0,0.04892270581075138,0.14486426009910508,0.31256352608054483,0.07243213004955254,0.6695873015873015,525,0.7727581123189822,2.026631891966729,0.2,1.0133159459833645,"C5 | P=120, T=80, W=600"
C6,self,120.0,500.0,1500.0,0.18048713981454417,0.12663314066669798,0.6097357798616827,0.06331657033334899,0.8953846153846154,5.0,0.23986521302061756,0.16362701750558634,0.22273774701013271,0.08181350875279317,0.9924890350877192,608,3.585962124949071,2.362456312976089,0.2,1.1812281564880445,"C6 | P=120, T=500, W=1500"
C6,stranger,120.0,500.0,1500.0,0.16078830816611453,0.13370437806003035,0.6655951806944349,0.06685218903001518,0.8869230769230769,5.0,0.056803143768271634,0.1534638664350841,0.351352716221819,0.07673193321754206,0.7066666666666667,600,0.9418654771067143,2.3597275746249,0.2,1.17986378731245,"C6 | P=120, T=500, W=1500"
