condition_id,label,P,T_ms,W_ms,RT_real,ACC_real,RT_gen,ACC_gen,condition_text
C1,self,0.0,30.0,300.0,0.2613079169960789,0.17115384615384616,0.4843645390070915,0.885579196217494,"C1 | P=0, T=30, W=300"
C1,stranger,0.0,30.0,300.0,0.2576688824005832,0.16826923076923078,0.6383484633569699,0.6522458628841608,"C1 | P=0, T=30, W=300"
C2,self,0.0,30.0,600.0,0.4051082070399068,0.31367521367521367,0.6691815602836846,0.8542553191489362,"C2 | P=0, T=30, W=600"
C2,stranger,0.0,30.0,600.0,0.4100274203821436,0.2376068376068376,0.7927209219858088,0.6109929078014185,"C2 | P=0, T=30, W=600"
C3,self,8.0,100.0,1100.0,0.6553545361671961,0.8747252747252747,0.7433853174603136,0.9125,"C3 | P=8, T=100, W=1100"
C3,stranger,8.0,100.0,1100.0,0.7260349119280332,0.7065934065934066,0.9960965608465508,0.6160714285714286,"C3 | P=8, T=100, W=1100"
C4,self,120.0,30.0,600.0,0.3684096692747597,0.42615384615384616,0.740293486590033,0.7777777777777778,"C4 | P=120, T=30, W=600"
C4,stranger,120.0,30.0,600.0,0.36330081373369777,0.34615384615384615,0.8056011494252805,0.5524904214559387,"C4 | P=120, T=30, W=600"
C5,self,120.0,80.0,600.0,0.4947030206621831,0.6032967032967033,0.5859234042553174,0.9479314420803783,"C5 | P=120, T=80, W=600"
C5,stranger,120.0,80.0,600.0,0.5018581475354899,0.42857142857142855,0.8461095744680776,0.6565602836879433,"C5 | P=120, T=80, W=600"
C6,self,120.0,500.0,1500.0,0.8762951732563806,0.8984615384615384,0.5622513114754094,0.9925136612021858,"C6 | P=120, T=500, W=1500"
C6,stranger,120.0,500.0,1500.0,0.9767493604274815,0.8430769230769231,0.9868920765027231,0.7030601092896175,"C6 | P=120, T=500, W=1500"
