P,T,W,M,condition_id
0,30,300,330,P0_T30_W300
0,30,600,630,P0_T30_W600
0,30,1500,1530,P0_T30_W1500
0,100,300,400,P0_T100_W300
0,100,600,700,P0_T100_W600
0,100,1500,1600,P0_T100_W1500
0,500,300,800,P0_T500_W300
0,500,600,1100,P0_T500_W600
0,500,1500,2000,P0_T500_W1500
64,30,300,330,P64_T30_W300
64,30,600,630,P64_T30_W600
64,30,1500,1530,P64_T30_W1500
64,100,300,400,P64_T100_W300
64,100,600,700,P64_T100_W600
64,100,1500,1600,P64_T100_W1500
64,500,300,800,P64_T500_W300
64,500,600,1100,P64_T500_W600
64,500,1500,2000,P64_T500_W1500
120,30,300,330,P120_T30_W300
120,30,600,630,P120_T30_W600
120,30,1500,1530,P120_T30_W1500
120,100,300,400,P120_T100_W300
120,100,600,700,P120_T100_W600
120,100,1500,1600,P120_T100_W1500
120,500,300,800,P120_T500_W300
120,500,600,1100,P120_T500_W600
120,500,1500,2000,P120_T500_W1500
